username,1,2,3,4,5,6,7,8,9,10,11,12
therealfergus,7051924,1918803,626791,243497,98729,39456,14863,4442,1246,217,31,1
herbietime,2324007,5870166,1466564,291928,42931,4270,134,0,0,0,0,0
namebrant,182179,549583,1763731,2072461,1714522,1353389,990934,671285,390579,201265,85076,24996
thezirconisdragon,172367,705490,2946337,2284685,1591888,1078057,650100,362141,147320,49836,10448,1331
burgertownthicnred,132582,401293,1322104,1796774,1912706,1705152,1277458,830484,419592,157110,39417,5328
mackjyers21,95071,365016,1130730,1751132,2025363,1891529,1343868,804767,388339,152176,43879,8130
shakylegs,24313,106217,386736,801559,1289289,1799152,2207580,1670266,983890,479109,195368,56521
black8yellownation,14324,64955,250486,481362,755281,1061767,1504236,2038612,2165606,1097009,442847,123515
alecwilson,3060,16875,89890,217731,424854,751722,1320777,2214308,2477538,1489315,729290,264640
tonygordzilla22,134,891,6361,18135,39613,78827,163152,324104,705850,1572148,3061888,4028897
pacc,22,283,3626,13947,35539,80436,178717,365826,796348,1623371,2936226,3965659
empireyikesback,17,428,6644,26789,69285,156243,348181,713765,1523692,3178444,2455530,1520982
