username,1,2,3,4,5,6,7,8,9,10,11,12
herbietime,519071,246609,126393,63803,28044,10866,3978,964,245,27,0,0
thezirconisdragon,207216,217918,211837,190465,90851,43249,21097,10387,4521,1791,599,69
pacc,129685,235765,258494,201825,95582,44196,20366,8927,3493,1283,353,31
alecwilson,121560,230819,242304,200035,112221,55459,24291,9838,2780,607,85,1
empireyikesback,10190,29865,65239,128155,221379,230222,154714,90484,44346,18864,5803,739
therealfergus,7938,23112,52386,111351,223924,209612,160202,107515,61428,29795,11170,1567
mackjyers21,2929,9658,24152,52923,102427,157720,200785,213672,126290,68633,33428,7383
burgertownthicnred,1186,5082,14703,37376,85808,159720,235133,221258,135556,70482,28953,4743
shakylegs,174,829,2860,7853,20504,42744,81483,148984,266940,234378,151138,42113
namebrant,50,317,1340,4735,13658,30156,59057,107122,190895,282746,231176,78748
tonygordzilla22,1,26,284,1449,5371,15091,36352,73421,144405,242095,391038,90467
black8yellownation,0,0,8,30,231,965,2542,7428,19101,49299,146257,774139
